x,x^-2-prediction
0,0.1337286829948425293
0.019999980926513671875,0.16212415695190429688
0.040000021457672119141,0.19731152057647705078
0.059999942779541015625,0.23249888420104980469
0.079999983310699462891,0.26768636703491210938
0.10000002384185791016,0.30287367105484008789
0.12000000476837158203,0.33806109428405761719
0.1400000452995300293,0.37324857711791992188
0.15999996662139892578,0.40037733316421508789
0.18000000715255737305,0.42749607563018798828
0.19999998807907104492,0.44725257158279418945
0.2199999690055847168,0.46681115031242370605
0.23999994993209838867,0.48636987805366516113
0.25999999046325683594,0.50592851638793945312
0.2800000309944152832,0.52548730373382568359
0.30000001192092895508,0.54504597187042236328
0.32000005245208740234,0.56460464000701904297
0.34000003337860107422,0.58416330814361572266
0.36000001430511474609,0.60372197628021240234
0.37999999523162841797,0.62328064441680908203
0.39999997615814208984,0.64056003093719482422
0.41999995708465576172,0.65363454818725585938
0.43999999761581420898,0.66670912504196166992
0.46000003814697265625,0.67978376150131225586
0.48000001907348632812,0.69285827875137329102
0.5,0.70593285560607910156
0.51999998092651367188,0.71900737285614013672
0.54000008106231689453,0.73208200931549072266
0.56000006198883056641,0.74515652656555175781
0.58000004291534423828,0.75823110342025756836
0.60000002384185791016,0.77130568027496337891
0.62000000476837158203,0.78438019752502441406
0.63999998569488525391,0.79745471477508544922
0.66000002622604370117,0.81052929162979125977
0.68000006675720214844,0.82360386848449707031
0.69999998807907104492,0.83667838573455810547
0.72000002861022949219,0.84975296258926391602
0.74000000953674316406,0.86282753944396972656
0.76000005006790161133,0.87590211629867553711
0.77999997138977050781,0.88897663354873657227
0.80000001192092895508,0.90205121040344238281
0.81999999284744262695,0.91219329833984375
0.83999997377395629883,0.92173421382904052734
0.86000001430511474609,0.93127518892288208008
0.87999999523162841797,0.94081616401672363281
0.89999997615814208984,0.95035713911056518555
0.92000001668930053711,0.95989811420440673828
0.94000005722045898438,0.96943902969360351562
0.95999997854232788086,0.97898000478744506836
0.98000001907348632812,0.98852097988128662109
1,0.99806195497512817383
1.0199999809265136719,1.0076029300689697266
1.0399999618530273438,1.0171438455581665039
1.0599999427795410156,1.026684880256652832
1.0800000429153442383,1.0362257957458496094
1.1000000238418579102,1.0457667112350463867
1.120000004768371582,1.0553077459335327148
1.1399999856948852539,1.0648486614227294922
1.1599999666213989258,1.0743896961212158203
1.1799999475479125977,1.0839306116104125977
1.2000000476837158203,1.0934716463088989258
1.2200000286102294922,1.1030125617980957031
1.2400000095367431641,1.1125534772872924805
1.2599999904632568359,1.1220945119857788086
1.2799999713897705078,1.1316354274749755859
1.3000000715255737305,1.1411764621734619141
1.3200000524520874023,1.1507173776626586914
1.3400000333786010742,1.1602584123611450195
1.3600001335144042969,1.1697993278503417969
1.379999995231628418,1.1785595417022705078
1.3999999761581420898,1.1862747669219970703
1.4199999570846557617,1.1939899921417236328
1.4400000572204589844,1.2017053365707397461
1.4600000381469726562,1.2094205617904663086
1.4800000190734863281,1.2171359062194824219
1.5,1.2248511314392089844
1.5200001001358032227,1.2325663566589355469
1.5399999618530273438,1.2402817010879516602
1.5599999427795410156,1.2479969263076782227
1.5800001621246337891,1.2557122707366943359
1.6000000238418579102,1.2634274959564208984
1.620000004768371582,1.2711427211761474609
1.6400001049041748047,1.278858184814453125
1.6600000858306884766,1.2865734100341796875
1.6799999475479125977,1.29428863525390625
1.7000000476837158203,1.3020039796829223633
1.7200000286102294922,1.3097192049026489258
1.7400000095367431641,1.3174344301223754883
1.7599999904632568359,1.3251497745513916016
1.7799999713897705078,1.3328649997711181641
1.7999999523162841797,1.3405802249908447266
1.8200000524520874023,1.3482955694198608398
1.8400000333786010742,1.3560109138488769531
1.8600001335144042969,1.3637261390686035156
1.8800001144409179688,1.3714414834976196289
1.8999999761581420898,1.3791567087173461914
1.9199999570846557617,1.3868718147277832031
1.9400000572204589844,1.3945872783660888672
1.9600000381469726562,1.4023025035858154297
1.9800000190734863281,1.4100177288055419922
